2011 National Household Survey Data on the Annual Earnings and Employment of Graduates,,,,,,,,,,,,,,,,
HIGHEST_LEVEL_OF_STUDY,HIGHEST_LEVEL_OF_STUDY_CODE,YEARS_SINCE_GRADUATION,YEARS_SINCE_GRADUATION_CODE,MAJOR_FIELD_OF_STUDY,MAJOR_FIELD_OF_STUDY_CODE,LABOUR_FORCE_ACTIVITY,LABOUR_FORCE_ACTIVITY_CODE,WORK_ACTIVITY,WORK_ACTIVITY_CODE,TOTAL_EMPLOYMENT,WITHOUT_EMPLOYMENT,WITH_EMPLOYMENT,QUARTILE_1,QUARTILE_2,QUARTILE_3,AVERAGE_HOURS_WORKED
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,Nursing,FOS1179,Total - Labour force status,LFA0,"Worked full-time, full-year",WA012,6555.0,180.0,6380.0,36220.4,49457.6,59607.9,33.4
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,Vehicle Maintenance and Repair Technologies,FOS1117,Total - Labour force status,LFA0,"Worked full-time, full-year",WA012,5895.0,190.0,5705.0,36908.7,47812.8,63088.5,40.6
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,Finance and Insurance support services,FOS1184,Total - Labour force status,LFA0,"Worked full-time, full-year",WA012,5540.0,125.0,5415.0,32873.9,43793.8,57239.0,37.4
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,Humanities,FOS108,Total - Labour force status,LFA0,"Worked full-time, full-year",WA012,5540.0,150.0,5390.0,25709.0,36484.3,48437.8,36.4
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,Audiovisual and Graphic Communications Technology/Technician,FOS1145,Total - Labour force status,LFA0,"Worked full-time, full-year",WA012,5500.0,135.0,5365.0,29736.4,41216.9,54209.2,38.3
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,Social work and public administration professions,FOS107,Total - Labour force status,LFA0,"Worked full-time, full-year",WA012,5445.0,140.0,5305.0,27581.8,38099.5,46950.3,34.1
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,Social Work,FOS1071,Total - Labour force status,LFA0,"Worked full-time, full-year",WA012,5040.0,110.0,4930.0,28128.6,38669.6,47537.3,33.6
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,"Legal support services, and legal professions and studies",FOS1095,Total - Labour force status,LFA0,"Worked full-time, full-year",WA012,4900.0,140.0,4765.0,31641.9,40685.9,50829.9,35.9
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,Allied Health and Medical Assisting Services,FOS1172,Total - Labour force status,LFA0,"Worked full-time, full-year",WA012,4855.0,145.0,4710.0,27881.6,37146.2,46334.9,35.0
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,Computer Science,FOS1022,Total - Labour force status,LFA0,"Worked full-time, full-year",WA012,4480.0,85.0,4395.0,39390.6,50328.5,63279.6,38.6
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,Precision production,FOS112,Total - Labour force status,LFA0,"Worked full-time, full-year",WA012,4430.0,185.0,4250.0,35720.0,47471.8,63166.6,40.5
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,"Agriculture, Agricultural Operations and Related Sciences",FOS1011,Total - Labour force status,LFA0,"Worked full-time, full-year",WA012,4190.0,115.0,4080.0,23291.5,35933.2,50256.7,46.4
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,Mechanical Engineering Related Technologies/Technicians,FOS1043,Total - Labour force status,LFA0,"Worked full-time, full-year",WA012,4160.0,70.0,4095.0,39241.7,52550.7,70534.2,40.4
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,"Communication, journalism and related programs",FOS1094,Total - Labour force status,LFA0,"Worked full-time, full-year",WA012,4155.0,85.0,4065.0,30768.8,41409.0,54903.8,36.5
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,Culinary arts and related services,FOS1131,Total - Labour force status,LFA0,"Worked full-time, full-year",WA012,4125.0,100.0,4025.0,22682.3,32830.6,44240.4,38.0
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,"Liberal Arts and Sciences, General Studies and Humanities",FOS1083,Total - Labour force status,LFA0,"Worked full-time, full-year",WA012,4040.0,95.0,3950.0,25810.3,36489.6,47184.7,35.6
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,Computer Engineering Technologies/Technicians,FOS1045,Total - Labour force status,LFA0,"Worked full-time, full-year",WA012,4020.0,85.0,3935.0,36234.1,50357.0,66201.7,39.4
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,"Allied Health Diagnostic, Intervention and Treatment Professions",FOS1173,Total - Labour force status,LFA0,"Worked full-time, full-year",WA012,4000.0,50.0,3950.0,43100.2,57918.8,78558.4,36.9
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,Hospitality Administration/Management,FOS1182,Total - Labour force status,LFA0,"Worked full-time, full-year",WA012,3900.0,135.0,3765.0,29237.1,39154.1,47827.6,38.0
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,Precision Metal Working and production trades,FOS1122,Total - Labour force status,LFA0,"Worked full-time, full-year",WA012,3810.0,160.0,3650.0,36890.7,48663.7,63915.1,40.5
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,Other Medical Technologists and Technicians,FOS1177,Total - Labour force status,LFA0,"Worked full-time, full-year",WA012,3715.0,135.0,3580.0,28542.4,40297.4,51686.1,34.4
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,Dental Support Services and Allied Professions,FOS1178,Total - Labour force status,LFA0,"Worked full-time, full-year",WA012,3700.0,115.0,3580.0,30681.2,41783.8,52020.7,33.2
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,Cosmetology and Related Personal Grooming Services,FOS1132,Total - Labour force status,LFA0,"Worked full-time, full-year",WA012,3680.0,105.0,3575.0,18324.5,26943.1,37586.4,34.2
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,Health Aides/Attendants/Orderlies,FOS1175,Total - Labour force status,LFA0,"Worked full-time, full-year",WA012,3585.0,90.0,3495.0,23175.3,33625.5,41640.2,34.3
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,Health and Medical Administrative Services,FOS1171,Total - Labour force status,LFA0,"Worked full-time, full-year",WA012,3385.0,90.0,3300.0,26456.4,36039.9,44163.3,34.7
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,"Environmental, mining & petroleum & other engineering technologies/technicians",FOS1041,Total - Labour force status,LFA0,"Worked full-time, full-year",WA012,3365.0,105.0,3255.0,40192.9,55091.7,77515.4,39.8
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,Education,FOS1030,Total - Labour force status,LFA0,"Worked full-time, full-year",WA012,2985.0,100.0,2890.0,26858.6,36100.0,46503.8,33.6
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,Physical and life sciences and technologies,FOS105,Total - Labour force status,LFA0,"Worked full-time, full-year",WA012,2875.0,110.0,2770.0,29760.7,42376.1,57643.3,37.1
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,Civil Engineering Technology/Technician,FOS1042,Total - Labour force status,LFA0,"Worked full-time, full-year",WA012,2760.0,75.0,2690.0,44886.5,56995.1,72780.7,41.2
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,Construction trades,FOS110,Total - Labour force status,LFA0,"Worked full-time, full-year",WA012,2650.0,110.0,2535.0,30352.9,44488.5,59898.2,40.8
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,Technicians in Performing Arts,FOS1146,Total - Labour force status,LFA0,"Worked full-time, full-year",WA012,2510.0,60.0,2450.0,24222.6,34295.9,44918.1,38.7
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,Human Resources Management and Services,FOS1185,Total - Labour force status,LFA0,"Worked full-time, full-year",WA012,2440.0,60.0,2380.0,33603.4,41659.2,52017.6,37.2
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,"Parks, recreation, leisure and fitness studies",FOS1160,Total - Labour force status,LFA0,"Worked full-time, full-year",WA012,2335.0,85.0,2255.0,29141.0,38474.3,48385.0,37.2
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,Architecture and related services,FOS1047,Total - Labour force status,LFA0,"Worked full-time, full-year",WA012,2315.0,40.0,2270.0,35720.0,47514.0,59163.5,39.3
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,Heavy/Industrial Equipment Maintenance Technologies,FOS1114,Total - Labour force status,LFA0,"Worked full-time, full-year",WA012,2110.0,80.0,2035.0,45322.5,63538.2,82989.1,42.9
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,Social sciences,FOS1091,Total - Labour force status,LFA0,"Worked full-time, full-year",WA012,2085.0,30.0,2055.0,32329.1,43685.1,58315.8,38.8
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,Somatic Bodywork and Related Therapeutic Services,FOS1176,Total - Labour force status,LFA0,"Worked full-time, full-year",WA012,1655.0,30.0,1625.0,23075.1,33450.3,42680.1,32.1
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,Natural resources and conservation,FOS1012,Total - Labour force status,LFA0,"Worked full-time, full-year",WA012,1525.0,45.0,1480.0,37145.2,50580.8,66435.0,38.6
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,Air Transportation,FOS1134,Total - Labour force status,LFA0,"Worked full-time, full-year",WA012,1425.0,70.0,1355.0,41799.6,55425.3,77429.9,38.8
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,"Drafting, architecture, surveying and mapping technologies/technician",FOS1046,Total - Labour force status,LFA0,"Worked full-time, full-year",WA012,1400.0,45.0,1350.0,36573.0,52041.9,66885.8,40.4
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,Biological and biomedical sciences,FOS1053,Total - Labour force status,LFA0,"Worked full-time, full-year",WA012,1385.0,50.0,1335.0,24902.4,37481.9,48427.2,36.2
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,Carpentry/Carpenter,FOS1103,Total - Labour force status,LFA0,"Worked full-time, full-year",WA012,1365.0,80.0,1285.0,28814.8,41905.2,57153.5,38.5
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,Stationary Energy Sources Installer and Operator,FOS1116,Total - Labour force status,LFA0,"Worked full-time, full-year",WA012,1215.0,45.0,1175.0,52787.2,88011.0,128306.3,41.8
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,Fine Arts and Art Studies,FOS1142,Total - Labour force status,LFA0,"Worked full-time, full-year",WA012,1160.0,60.0,1100.0,25220.2,35771.7,48805.1,38.7
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,Science technologies/technicians,FOS1051,Total - Labour force status,LFA0,"Worked full-time, full-year",WA012,1065.0,25.0,1035.0,37876.7,47647.1,61974.8,36.6
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,Forestry,FOS1013,Total - Labour force status,LFA0,"Worked full-time, full-year",WA012,1040.0,30.0,1015.0,35547.9,47630.2,62973.4,38.5
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,General mechanics and repairers,FOS1111,Total - Labour force status,LFA0,"Worked full-time, full-year",WA012,930.0,20.0,905.0,33870.4,46513.3,60271.9,43.2
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,Family and consumer sciences/human sciences,FOS1152,Total - Labour force status,LFA0,"Worked full-time, full-year",WA012,795.0,35.0,765.0,30367.7,38087.9,47472.9,33.8
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,Music,FOS1143,Total - Labour force status,LFA0,"Worked full-time, full-year",WA012,725.0,0.0,720.0,20230.0,31714.7,44563.4,37.8
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,Ground Transportation,FOS1135,Total - Labour force status,LFA0,"Worked full-time, full-year",WA012,715.0,20.0,690.0,41375.3,62448.8,77168.1,44.8
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,Language and literature/letters,FOS1082,Total - Labour force status,LFA0,"Worked full-time, full-year",WA012,640.0,0.0,635.0,23937.5,36870.7,50247.2,38.3
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,"Building/Construction Finishing, Management and Inspection",FOS1105,Total - Labour force status,LFA0,"Worked full-time, full-year",WA012,615.0,20.0,595.0,31711.6,43425.4,59969.0,40.3
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,Woodworking,FOS1123,Total - Labour force status,LFA0,"Worked full-time, full-year",WA012,610.0,25.0,580.0,26177.7,37225.4,54030.8,39.9
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,Theological studies and religious vocations,FOS1084,Total - Labour force status,LFA0,"Worked full-time, full-year",WA012,600.0,40.0,555.0,24672.3,34349.7,48077.8,37.8
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,Electrical/Electronics Maintenance and Repair Technology,FOS1112,Total - Labour force status,LFA0,"Worked full-time, full-year",WA012,595.0,20.0,580.0,37952.8,53297.1,67137.0,40.3
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,"Construction trades, general",FOS1101,Total - Labour force status,LFA0,"Worked full-time, full-year",WA012,550.0,0.0,545.0,42869.1,51005.2,63396.8,46.6
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,Other creative and performing arts,FOS1144,Total - Labour force status,LFA0,"Worked full-time, full-year",WA012,550.0,15.0,530.0,24102.2,35232.3,47067.5,35.3
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,Physical sciences,FOS1052,Total - Labour force status,LFA0,"Worked full-time, full-year",WA012,425.0,30.0,395.0,34437.3,54388.6,68243.4,41.3
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,Other public administration and services,FOS1072,Total - Labour force status,LFA0,"Worked full-time, full-year",WA012,405.0,25.0,380.0,22264.3,34616.8,39262.9,40.3
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,Psychology,FOS1093,Total - Labour force status,LFA0,"Worked full-time, full-year",WA012,395.0,25.0,365.0,25748.0,43342.0,49568.4,34.4
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,Library Science,FOS1024,Total - Labour force status,LFA0,"Worked full-time, full-year",WA012,355.0,0.0,350.0,33778.6,42078.3,47623.8,30.7
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,Mental and Social Health Services and Allied Professions,FOS1174,Total - Labour force status,LFA0,"Worked full-time, full-year",WA012,355.0,0.0,350.0,22436.4,34816.3,47525.7,38.2
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,Funeral Service and Mortuary Science,FOS1133,Total - Labour force status,LFA0,"Worked full-time, full-year",WA012,305.0,0.0,295.0,33802.9,41954.8,52850.5,36.3
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,"History and Area, ethnic, cultural and gender studies",FOS1092,Total - Labour force status,LFA0,"Worked full-time, full-year",WA012,260.0,25.0,235.0,30563.0,36729.2,52408.2,38.7
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,Marine Transportation,FOS1136,Total - Labour force status,LFA0,"Worked full-time, full-year",WA012,245.0,0.0,240.0,0.0,59807.4,0.0,35.9
"College, CEGEP or other non-university certificate or diploma",LOS040,5 years,YSG05,Philosophy and Religious Studies,FOS1085,Total - Labour force status,LFA0,"Worked full-time, full-year",WA012,180.0,0.0,175.0,0.0,34735.0,0.0,41.6
Bachelor's degree,LOS050,5 years,YSG05,Total- Major Field of Study - Classification of Instructional Programs 2000,FOS2,Total - Labour force status,LFA0,"Worked full-time, full-year",WA012,238760.0,4310.0,234445.0,39651.3,53711.9,69171.3,37.9
Bachelor's degree,LOS050,5 years,YSG05,All University Programs,FOS2,Total - Labour force status,LFA0,"Worked full-time, full-year",WA012,233140.0,4145.0,228995.0,39739.0,53778.5,69156.5,37.9
Bachelor's degree,LOS050,5 years,YSG05,"Business, management, marketing and related support services",FOS210,Total - Labour force status,LFA0,"Worked full-time, full-year",WA012,56885.0,1125.0,55760.0,41278.1,54250.3,70935.4,38.7
Bachelor's degree,LOS050,5 years,YSG05,Social and behavioural sciences,FOS207,Total - Labour force status,LFA0,"Worked full-time, full-year",WA012,47255.0,795.0,46460.0,36492.7,48920.2,63309.1,37.5
Bachelor's degree,LOS050,5 years,YSG05,Business and commerce and administrations,FOS21001,Total - Labour force status,LFA0,"Worked full-time, full-year",WA012,31110.0,665.0,30445.0,42161.7,54958.7,73593.6,39.2
Bachelor's degree,LOS050,5 years,YSG05,Architecture and engineering,FOS204,Total - Labour force status,LFA0,"Worked full-time, full-year",WA012,27570.0,410.0,27160.0,52768.2,66203.8,82197.4,40.2
Bachelor's degree,LOS050,5 years,YSG05,Education,FOS20300,Total - Labour force status,LFA0,"Worked full-time, full-year",WA012,24275.0,290.0,23985.0,39983.9,51440.1,62056.0,35.3
Bachelor's degree,LOS050,5 years,YSG05,"Health, human sciences, parks, recreation and fitness",FOS209,Total - Labour force status,LFA0,"Worked full-time, full-year",WA012,22880.0,450.0,22435.0,45877.7,63781.0,76731.0,35.9
Bachelor's degree,LOS050,5 years,YSG05,Humanities,FOS206,Total - Labour force status,LFA0,"Worked full-time, full-year",WA012,20440.0,420.0,20020.0,31730.6,44855.8,58322.1,37.4
Bachelor's degree,LOS050,5 years,YSG05,"Computer science, mathematics and statistics",FOS202,Total - Labour force status,LFA0,"Worked full-time, full-year",WA012,12255.0,210.0,12045.0,46686.4,59585.7,73246.2,38.8
Bachelor's degree,LOS050,5 years,YSG05,Nursing,FOS20902,Total - Labour force status,LFA0,"Worked full-time, full-year",WA012,10795.0,175.0,10615.0,58503.7,68682.5,77638.9,34.7
Bachelor's degree,LOS050,5 years,YSG05,Physical and life sciences technologies,FOS205,Total - Labour force status,LFA0,"Worked full-time, full-year",WA012,10160.0,255.0,9910.0,35791.8,52298.4,67915.1,38.2
Bachelor's degree,LOS050,5 years,YSG05,Psychology,FOS20708,Total - Labour force status,LFA0,"Worked full-time, full-year",WA012,9470.0,225.0,9240.0,33653.0,44639.4,55827.5,35.5
Bachelor's degree,LOS050,5 years,YSG05,Accounting and Related Services,FOS21002,Total - Labour force status,LFA0,"Worked full-time, full-year",WA012,8730.0,110.0,8625.0,44379.7,57877.7,75414.6,38.8
Bachelor's degree,LOS050,5 years,YSG05,"Liberal Arts and Sciences, General Studies and Humanities",FOS20605,Total - Labour force status,LFA0,"Worked full-time, full-year",WA012,7840.0,215.0,7625.0,32119.1,45960.1,60361.7,37.4
Bachelor's degree,LOS050,5 years,YSG05,Computer Science,FOS20201,Total - Labour force status,LFA0,"Worked full-time, full-year",WA012,7660.0,90.0,7570.0,48601.4,61083.8,74261.8,39.1
Bachelor's degree,LOS050,5 years,YSG05,"Design, music, performing, fine and applied arts",FOS208,Total - Labour force status,LFA0,"Worked full-time, full-year",WA012,7600.0,155.0,7435.0,26418.4,39036.9,52284.7,37.4
Bachelor's degree,LOS050,5 years,YSG05,Other engineering related fields,FOS20407,Total - Labour force status,LFA0,"Worked full-time, full-year",WA012,7455.0,115.0,7340.0,52473.6,67279.5,84585.3,40.5
Bachelor's degree,LOS050,5 years,YSG05,Biological and biomedical science,FOS20501,Total - Labour force status,LFA0,"Worked full-time, full-year",WA012,7335.0,225.0,7110.0,34746.7,49580.0,63816.9,37.9
Bachelor's degree,LOS050,5 years,YSG05,"Communication, journalism and related programs",FOS20710,Total - Labour force status,LFA0,"Worked full-time, full-year",WA012,7050.0,125.0,6920.0,35435.0,47124.5,60671.0,37.8
Bachelor's degree,LOS050,5 years,YSG05,Political science and government,FOS20704,Total - Labour force status,LFA0,"Worked full-time, full-year",WA012,5870.0,90.0,5785.0,37461.9,52061.9,65212.5,38.2
Bachelor's degree,LOS050,5 years,YSG05,Economics,FOS20703,Total - Labour force status,LFA0,"Worked full-time, full-year",WA012,5465.0,95.0,5365.0,38848.0,50934.4,67043.1,38.8
Bachelor's degree,LOS050,5 years,YSG05,"Parks, recreation, leisure and fitness studies",FOS20912,Total - Labour force status,LFA0,"Worked full-time, full-year",WA012,5035.0,90.0,4945.0,36054.6,46736.0,61885.0,37.7
Bachelor's degree,LOS050,5 years,YSG05,Mechanical Engineering,FOS20402,Total - Labour force status,LFA0,"Worked full-time, full-year",WA012,4935.0,40.0,4895.0,54275.7,65760.4,84575.8,41.2
Bachelor's degree,LOS050,5 years,YSG05,"Law, legal services and legal studies",FOS20711,Total - Labour force status,LFA0,"Worked full-time, full-year",WA012,4915.0,55.0,4860.0,45855.6,61809.0,86269.1,42.0
